,ds,y
0,2007-07-20,349
1,2007-07-21,503
2,2007-07-22,276
3,2007-07-23,308
4,2007-07-24,417
5,2007-07-25,315
6,2007-07-26,341
7,2007-07-27,479
8,2007-07-28,739
9,2007-07-29,322
10,2007-07-30,384
11,2007-07-31,425
12,2007-08-01,389
13,2007-08-02,366
14,2007-08-03,426
15,2007-08-04,521
16,2007-08-05,296
17,2007-08-06,353
18,2007-08-07,389
19,2007-08-08,383
20,2007-08-09,413
21,2007-08-10,434
22,2007-08-11,552
23,2007-08-12,234
24,2007-08-13,309
25,2007-08-14,268
26,2007-08-15,308
27,2007-08-16,395
28,2007-08-17,400
29,2007-08-18,494
30,2007-08-19,204
31,2007-08-20,338
32,2007-08-21,346
33,2007-08-22,439
34,2007-08-23,453
35,2007-08-24,502
36,2007-08-25,648
37,2007-08-26,284
38,2007-08-27,352
39,2007-08-28,365
40,2007-08-29,346
41,2007-08-30,474
42,2007-08-31,541
43,2007-09-01,743
44,2007-09-02,236
45,2007-09-03,392
46,2007-09-04,437
47,2007-09-05,373
48,2007-09-06,371
49,2007-09-07,423
50,2007-09-08,624
51,2007-09-09,258
52,2007-09-10,314
53,2007-09-11,355
54,2007-09-12,308
55,2007-09-13,296
56,2007-09-14,358
57,2007-09-15,643
58,2007-09-16,348
59,2007-09-17,282
60,2007-09-18,395
61,2007-09-19,304
62,2007-09-20,350
63,2007-09-21,338
64,2007-09-22,749
65,2007-09-23,307
66,2007-09-24,280
67,2007-09-25,392
68,2007-09-26,362
69,2007-09-27,375
70,2007-09-28,437
71,2007-09-29,923
72,2007-09-30,375
73,2007-10-01,382
74,2007-10-02,324
75,2007-10-03,338
76,2007-10-04,492
77,2007-10-05,534
78,2007-10-06,800
79,2007-10-07,370
80,2007-10-08,285
81,2007-10-09,314
82,2007-10-10,400
83,2007-10-11,382
84,2007-10-12,465
85,2007-10-13,674
86,2007-10-14,310
87,2007-10-15,295
88,2007-10-16,296
89,2007-10-17,389
90,2007-10-18,411
91,2007-10-19,506
92,2007-10-20,779
93,2007-10-21,357
94,2007-10-22,352
95,2007-10-23,522
96,2007-10-24,401
97,2007-10-25,449
98,2007-10-26,498
99,2007-10-27,741
100,2007-10-28,298
101,2007-10-29,343
102,2007-10-30,390
103,2007-10-31,337
104,2007-11-01,340
105,2007-11-02,433
106,2007-11-03,761
107,2007-11-04,330
108,2007-11-05,244
109,2007-11-06,353
110,2007-11-07,333
111,2007-11-08,366
112,2007-11-09,437
113,2007-11-10,767
114,2007-11-11,282
115,2007-11-12,327
116,2007-11-13,311
117,2007-11-14,340
118,2007-11-15,415
119,2007-11-16,426
120,2007-11-17,882
121,2007-11-18,234
122,2007-11-19,252
123,2007-11-20,268
124,2007-11-21,311
125,2007-11-22,344
126,2007-11-23,504
127,2007-11-24,634
128,2007-11-25,410
129,2007-11-26,333
130,2007-11-27,335
131,2007-11-28,321
132,2007-11-29,519
133,2007-11-30,493
134,2007-12-01,985
135,2007-12-02,317
136,2007-12-03,404
137,2007-12-04,372
138,2007-12-05,344
139,2007-12-06,412
140,2007-12-07,521
141,2007-12-08,670
142,2007-12-09,383
143,2007-12-10,442
144,2007-12-11,467
145,2007-12-12,383
146,2007-12-13,583
147,2007-12-14,454
148,2007-12-15,880
149,2007-12-16,428
150,2007-12-17,434
151,2007-12-18,459
152,2007-12-19,472
153,2007-12-20,626
154,2007-12-21,643
155,2007-12-22,695
156,2007-12-23,522
157,2007-12-24,396
158,2007-12-25,8
159,2007-12-26,347
160,2007-12-27,709
161,2007-12-28,638
162,2007-12-29,505
163,2007-12-30,404
164,2007-12-31,540
165,2008-01-01,70
166,2008-01-02,358
167,2008-01-03,286
168,2008-01-04,335
169,2008-01-05,540
170,2008-01-06,247
171,2008-01-07,299
172,2008-01-08,249
173,2008-01-09,286
174,2008-01-10,251
175,2008-01-11,278
176,2008-01-12,550
177,2008-01-13,193
178,2008-01-14,215
179,2008-01-15,224
180,2008-01-16,259
181,2008-01-17,254
182,2008-01-18,300
183,2008-01-19,672
184,2008-01-20,217
185,2008-01-21,199
186,2008-01-22,271
187,2008-01-23,247
188,2008-01-24,315
189,2008-01-25,395
190,2008-01-26,624
191,2008-01-27,262
192,2008-01-28,293
193,2008-01-29,253
194,2008-01-30,347
195,2008-01-31,226
196,2008-02-01,224
197,2008-02-02,461
198,2008-02-03,196
199,2008-02-04,235
200,2008-02-05,288
201,2008-02-06,336
202,2008-02-07,364
203,2008-02-08,369
204,2008-02-09,700
205,2008-02-10,315
206,2008-02-11,406
207,2008-02-12,482
208,2008-02-13,522
209,2008-02-14,386
210,2008-02-15,390
211,2008-02-16,629
212,2008-02-17,287
213,2008-02-18,337
214,2008-02-19,207
215,2008-02-20,270
216,2008-02-21,252
217,2008-02-22,269
218,2008-02-23,606
219,2008-02-24,204
220,2008-02-25,207
221,2008-02-26,269
222,2008-02-27,267
223,2008-02-28,285
224,2008-02-29,269
225,2008-03-01,633
226,2008-03-02,203
227,2008-03-03,223
228,2008-03-04,288
229,2008-03-05,249
230,2008-03-06,268
231,2008-03-07,343
232,2008-03-08,526
233,2008-03-09,283
234,2008-03-10,203
235,2008-03-11,223
236,2008-03-12,203
237,2008-03-13,272
238,2008-03-14,342
239,2008-03-15,459
240,2008-03-16,188
241,2008-03-17,246
242,2008-03-18,251
243,2008-03-19,281
244,2008-03-20,310
245,2008-03-21,371
246,2008-03-22,451
247,2008-03-23,93
248,2008-03-24,262
249,2008-03-25,322
250,2008-03-26,265
251,2008-03-27,326
252,2008-03-28,327
253,2008-03-29,416
254,2008-03-30,272
255,2008-03-31,366
256,2008-04-01,342
257,2008-04-02,300
258,2008-04-03,350
259,2008-04-04,362
260,2008-04-05,515
261,2008-04-06,199
262,2008-04-07,239
263,2008-04-08,278
264,2008-04-09,255
265,2008-04-10,246
266,2008-04-11,262
267,2008-04-12,680
268,2008-04-13,179
269,2008-04-14,225
270,2008-04-15,223
271,2008-04-16,249
272,2008-04-17,296
273,2008-04-18,276
274,2008-04-19,513
275,2008-04-20,160
276,2008-04-21,218
277,2008-04-22,293
278,2008-04-23,240
279,2008-04-24,342
280,2008-04-25,311
281,2008-04-26,619
282,2008-04-27,195
283,2008-04-28,205
284,2008-04-29,267
285,2008-04-30,270
286,2008-05-01,307
287,2008-05-02,366
288,2008-05-03,731
289,2008-05-04,236
290,2008-05-05,279
291,2008-05-06,299
292,2008-05-07,297
293,2008-05-08,306
294,2008-05-09,277
295,2008-05-10,530
296,2008-05-11,231
297,2008-05-12,272
298,2008-05-13,279
299,2008-05-14,224
300,2008-05-15,264
301,2008-05-16,272
302,2008-05-17,403
303,2008-05-18,189
304,2008-05-19,203
305,2008-05-20,245
306,2008-05-21,241
307,2008-05-22,309
308,2008-05-23,326
309,2008-05-24,595
310,2008-05-25,277
311,2008-05-26,293
312,2008-05-27,256
313,2008-05-28,276
314,2008-05-29,375
315,2008-05-30,368
316,2008-05-31,503
317,2008-06-01,153
318,2008-06-02,220
319,2008-06-03,280
320,2008-06-04,267
321,2008-06-05,281
322,2008-06-06,315
323,2008-06-07,510
324,2008-06-08,239
325,2008-06-09,267
326,2008-06-10,294
327,2008-06-11,224
328,2008-06-12,260
329,2008-06-13,259
330,2008-06-14,472
331,2008-06-15,187
332,2008-06-16,212
333,2008-06-17,217
334,2008-06-18,195
335,2008-06-19,286
336,2008-06-20,372
337,2008-06-21,411
338,2008-06-22,200
339,2008-06-23,257
340,2008-06-24,290
341,2008-06-25,240
342,2008-06-26,227
343,2008-06-27,306
344,2008-06-28,541
345,2008-06-29,218
346,2008-06-30,260
347,2008-07-01,304
348,2008-07-02,230
349,2008-07-03,279
350,2008-07-04,337
351,2008-07-05,408
352,2008-07-06,181
353,2008-07-07,185
354,2008-07-08,260
355,2008-07-09,223
356,2008-07-10,279
357,2008-07-11,216
358,2008-07-12,494
359,2008-07-13,262
360,2008-07-14,224
361,2008-07-15,232
362,2008-07-16,249
363,2008-07-17,230
364,2008-07-18,286
365,2008-07-19,580
366,2008-07-20,262
367,2008-07-21,316
368,2008-07-22,286
369,2008-07-23,262
370,2008-07-24,287
371,2008-07-25,365
372,2008-07-26,480
373,2008-07-27,218
374,2008-07-28,247
375,2008-07-29,313
376,2008-07-30,253
377,2008-07-31,192
378,2008-08-01,311
379,2008-08-02,502
380,2008-08-03,236
381,2008-08-04,254
382,2008-08-05,216
383,2008-08-06,239
384,2008-08-07,277
385,2008-08-08,297
386,2008-08-09,312
387,2008-08-10,204
388,2008-08-11,228
389,2008-08-12,208
390,2008-08-13,281
391,2008-08-14,249
392,2008-08-15,365
393,2008-08-16,417
394,2008-08-17,188
395,2008-08-18,217
396,2008-08-19,312
397,2008-08-20,254
398,2008-08-21,278
399,2008-08-22,303
400,2008-08-23,470
401,2008-08-24,264
402,2008-08-25,258
403,2008-08-26,281
