,ds,y
0,2022-07-20,34
1,2022-07-21,50
2,2022-07-22,27
3,2022-07-23,30
4,2022-07-24,41
5,2022-07-25,31
6,2022-07-26,34
7,2022-07-27,47
8,2022-07-28,73
9,2022-07-29,32
10,2022-07-30,38
11,2022-07-31,42
12,2022-08-01,38
13,2022-08-02,36
14,2022-08-03,42
15,2022-08-04,52
16,2022-08-05,29
17,2022-08-06,35
18,2022-08-07,38
19,2022-08-08,38
20,2022-08-09,41
21,2022-08-10,43
22,2022-08-11,55
23,2022-08-12,23
24,2022-08-13,30
25,2022-08-14,26
26,2022-08-15,30
27,2022-08-16,39
28,2022-08-17,40
29,2022-08-18,49
30,2022-09-19,20
31,2022-09-20,20
32,2022-09-21,45
32,2022-09-22,60
1000,2022-09-22,60
1000,2022-09-22,60
