Time,Total people

2022-09-19 21:39:23.362935,4

2022-09-19 21:39:39.966585,1

2022-09-19 21:49:31.559418,4

2022-09-19 21:51:26.096641,1

2022-09-19 21:52:11.498985,1
2022-09-18 12:52:45.121212,50
2022-09-19 21:52:47.351135,2

2022-09-19 21:54:40.425596,4

2022-09-19 21:54:42.637025,0

2022-09-19 21:55:18.664722,1

2022-09-19 21:57:22.661583,1

2022-09-19 21:57:58.681251,4

2022-09-19 22:00:10.537218,1
2022-09-24 11:33:00.496319,4
2022-09-24 11:40:09.437349,4
2022-09-24 12:27:54.470153,15
2022-09-24 12:49:30.056828,4
2022-10-04 11:28:30.088244,5
2022-10-04 11:33:13.495563,2
2022-10-04 12:14:39.083115,0
2022-10-04 12:18:30.115641,3
2022-10-04 12:30:09.916115,3
2022-10-04 12:35:15.737320,0
2022-10-04 12:39:44.516556,5
2022-10-07 11:58:27.688279,0
2022-10-07 16:32:54.641282,0
2022-10-07 16:43:46.747591,4
2022-10-07 16:49:15.076633,3
